Lon Lat
42.75 14.02
42.18 15.05
42.83 17.05
41.042 10.58
17.55 25.05
17.28 20.92
29.485 -1.458
67.97 34.25
37.25 27.08
60.67 28.17
39.63 8.7
39.07 8.07
38.95 8.62
37.67 5.65
36.63 33
33.583 -8.624
0 0
39.13 8.158
28.75 -2.32
16.45 21.03
37.57 5.93
67.492 30.479
9.67 4.75
16.33 21.33
8.5 17.68
2.83 19.83
35.43 7.42
-16.641 28.271
41.063 13.284
41.83 15.55
5 22.67
61.13 28.6
33.8 -8.75
36.35 -1.175
36.6 2.63
41.725 13.18
39.35 8.43
36.23 1.15
40.85 36.53
37.9 1.57
46.12 13.58
-24.97 16.85
6.58 0.2
25.396 36.404
8.75 3.58
8.63 3.35
8.52 3.35
33.668 -9.135
-19.596 -0.433
39.78 23.08
36.17 27.8
57.57 29.4
36.18 0.92
36.292 -0.904
36.075 0.62
10.5 6.25
38.58 7.47
29.25 -1.52
29.2 -1.408
37.87 0.23
48.48 -13.32
36.05 4.07
33.554 -8.989
13.67 7.25
36.43 1.98
41.7 13.37
29.678 -1.383
42.4 12.47
36.75 -3.25
36.07 -0.2
26.47 15.32
37.42 4.08
45.17 -12.83
41.161 13.106
37.97 2.32
24.27 12.95
44.236 15.245
5.83 23.92
42.2 12.38
40.82 12.17
41.48 11.75
41.65 13.27
-16.97 32.73
40.185 13.013
37.75 25.17
36.446 -0.914
40.28 9.57
35.914 -2.764
-13.63 29.03
-17.83 28.57
33.792 -9.229
30.25 0.45
25.85 14.57
41.208 11.88
18.53 19.8
36.12 0.77
35.88 5.1
39.692 8.8
41.38 22.8
37.35 -3.07
39.92 25
29.92 -0.08
30.191 -0.471
43.38 -11.75
29.45 -1.506
39.82 15.042
33.38 -8.976
40.2 26.58
10.83 23
31.93 -4.891
34.5 -0.38
37.83 6.78
-18.03 27.73
40.33 9.78
40.72 13.5
44.78 15.43
17.5 27.25
38.42 31.08
42.73 13.72
42.53 12.55
40.25 11.73
43.33 -11.47
-15.58 28
35.97 33.1
39.18 8.35
40.408 13.975
41.27 11.08
-14.02 28.358
30.25 0.7
-24.35 14.95
39.93 8.975
37.07 33.25
40.67 13.6
36.33 1.5
36.27 -0.52
36.22 -0.65
38.93 7.95
41.809 13.579
36.425 32.658
40.13 9.35
44.67 14.57
52.109 35.951
41.63 11.28
40.3 14.242
67.92 33.95
40.07 12.38
40.48 12.595
38.43 7.18
37.88 -2.68
38.12 6.65
36.042 3.5
9.17 4.203
38.35 8.05
30.08 -0.2
29.72 -1.23
-24.72 14.85
39.475 8.558
41.45 11.63
40.987 13.304
39.03 8.27
40.6 13.725
36.08 0.25
12 10.75
38.98 8.78
41.63 18.37
50.63 15.55
38.1 7.07
39.75 8.95
60 28.07
32.75 18.33
36.57 2.32
48.33 14.05
40.702 10.082
5.83 23.33
42.43 12.95
-14.37 -7.95
41.6 13.07
44.08 15.63
42.47 11.58
48.67 -14.3
49.15 -12.6
38.78 7.77
40.553 13.793
39.92 14.88
40.63 13.52
40.573 12.888
40.853 13.088
40.84 10.07
