	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	False	squared_error	23	log2	1	19	650	17.503932756848094	0.9756981909789157	1	10.92394036464519	0.09351145142908501	33
1	False	squared_error	29	log2	1	16	650	17.50898472354308	1.0042682045813205	2	10.35127698392762	0.0881694748324427	19
2	False	squared_error	29	sqrt	1	18	650	17.514847453038858	0.9880373830034758	3	10.706414133340484	0.0871102997608275	28
3	False	squared_error	30	sqrt	1	15	650	17.516922071277573	1.0263984938438186	4	10.160339749751945	0.08379763655974898	16
4	False	squared_error	41	sqrt	1	19	650	17.51765521040368	0.9897568154202835	5	10.870291676011636	0.08503221959939519	32
5	False	squared_error	30	log2	1	17	650	17.518116511125584	0.9882915460915003	6	10.529998159230432	0.086686853101523	26
6	False	squared_error	21	log2	1	20	650	17.51963865138988	0.983690652989344	7	11.14575102028809	0.09604117422293629	36
7	False	squared_error	43	sqrt	1	18	650	17.51990328567407	0.9832582470851763	8	10.711787894021313	0.09199209171853556	31
8	False	squared_error	41	sqrt	1	16	650	17.52251353817629	1.0128940231511099	9	10.353688336515924	0.08344860167731351	20
9	False	squared_error	21	log2	1	16	650	17.523520203242946	1.0132502292456758	10	10.478685161153603	0.09125681468676604	25
10	False	squared_error	40	log2	1	18	650	17.52373463836704	1.0036972743975912	11	10.70871471805413	0.09227518697335496	30
11	False	squared_error	28	log2	1	15	650	17.533611564272736	1.019347342895603	12	10.16381482213959	0.08676345883064719	17
12	False	squared_error	16	log2	1	11	100	17.534899220786507	1.0542018869051148	13	10.333779164603634	0.10971584096916964	18
13	False	squared_error	47	log2	1	15	650	17.538333997730764	0.9998522946718175	14	10.157981533698594	0.08420181508162274	15
14	False	squared_error	29	sqrt	1	16	100	17.540547671421496	1.0166608510842283	15	10.377318054952188	0.10732513502796484	22
15	False	squared_error	50	sqrt	1	13	600	17.551037044280015	1.0452966768502219	16	9.747138405476464	0.08952404570802568	13
