	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	True	squared_error	28	sqrt	2	7	650	18.589984141247534	0.6282182437428943	1	12.613271672837984	0.06661639920673154	9
1	True	squared_error	28	sqrt	2	7	650	18.590542025872356	0.6157578626786467	2	12.615032464299663	0.062364219616924926	12
2	True	squared_error	28	sqrt	2	8	650	18.592426797843224	0.613603837990085	3	12.838862639647877	0.060993543933213996	22
3	True	squared_error	28	sqrt	2	7	650	18.593096309878096	0.6219823058947775	4	12.61880699818967	0.06634279395496925	15
4	True	squared_error	28	sqrt	2	7	650	18.59619495751056	0.6304121703158142	5	12.613719740123091	0.05768689839513704	10
5	True	squared_error	28	sqrt	2	8	650	18.596539036053375	0.6116678348935705	6	12.840599138028443	0.05953369806761423	25
6	True	squared_error	28	sqrt	2	8	650	18.59906177620203	0.622862510150252	7	12.843244376236154	0.06647453895951669	31
7	True	squared_error	28	sqrt	2	8	650	18.599284469047486	0.6145179113424962	8	12.840576148625193	0.061125429885269006	24
8	True	squared_error	29	sqrt	2	8	650	18.600163639850628	0.6123707323745642	9	12.837624432049472	0.060918344693872764	17
9	True	squared_error	28	sqrt	2	8	650	18.6001844450439	0.6200400220206292	10	12.837114990737188	0.05929109999244016	16
10	True	squared_error	28	sqrt	2	7	650	18.600987265245855	0.6159700533644218	11	12.612748653643216	0.0654528971736453	8
11	True	squared_error	28	sqrt	2	8	650	18.601404320374133	0.6132017295606744	12	12.841287157578359	0.061088802368575654	26
12	True	squared_error	28	sqrt	2	8	650	18.601616504955395	0.6234982499588219	13	12.838716674871113	0.059921712149429915	21
13	True	squared_error	28	sqrt	2	6	650	18.602125970468702	0.6201748218274147	14	12.374925538584375	0.06488396059571971	5
14	True	squared_error	28	sqrt	2	8	650	18.602612150894426	0.6334192195271278	15	12.843501571141815	0.0675898889962753	32
15	True	squared_error	28	sqrt	2	9	650	18.602693708880235	0.6203449253743495	16	13.0569128412058	0.05901432210037568	40
16	True	squared_error	28	sqrt	2	7	650	18.602785933462822	0.6158031245288265	17	12.61534723807119	0.06279133043730445	14
17	True	squared_error	28	sqrt	2	8	650	18.604364708990165	0.621483333012803	18	12.844024030427637	0.061510122907378395	33
18	True	squared_error	28	sqrt	2	7	650	18.60471801875496	0.6213366781438956	19	12.611880960151861	0.0633020802203665	6
19	True	squared_error	28	sqrt	2	8	650	18.604982161134462	0.6022959533309578	20	12.837909171070251	0.058495909831072175	18
20	True	squared_error	28	sqrt	2	8	650	18.60573761854004	0.6243837167049417	21	12.844746066515096	0.06393229526687298	34
21	True	squared_error	28	sqrt	2	8	650	18.607185563518204	0.6140471127075741	22	12.843197323228875	0.058677444959240516	30
22	True	squared_error	28	sqrt	2	8	650	18.607609948850744	0.6186567774188625	23	12.841648734753218	0.06090630568060676	27
23	True	squared_error	28	sqrt	2	7	650	18.607924924642834	0.6219756545405808	24	12.61509314845684	0.06343693868801982	13
24	True	squared_error	28	sqrt	2	7	650	18.60812559553933	0.611000024813047	25	12.61456312757701	0.06015361173953924	11
25	True	squared_error	28	sqrt	2	7	650	18.60842278658855	0.6163159360800459	26	12.612697821716655	0.0623363106499863	7
26	True	squared_error	29	sqrt	2	9	650	18.60908884080805	0.612340980440778	27	13.052055108199255	0.05970357184590354	36
27	True	squared_error	28	sqrt	2	9	650	18.609431278669884	0.6109097888202243	28	13.056399471654476	0.0561254913568604	39
28	True	squared_error	28	sqrt	2	9	650	18.61174426033085	0.5980607368045054	29	13.055507448581428	0.05932899755123132	38
29	True	squared_error	28	sqrt	2	8	650	18.611767018117952	0.6153370155264847	30	12.842582304909062	0.06013201223136428	28
30	True	squared_error	28	sqrt	3	5	650	18.61221750994246	0.6175328664567011	31	13.079202409438462	0.06032233805627156	41
31	True	squared_error	28	sqrt	2	8	650	18.612474851349447	0.6058780156116036	32	12.83865411078591	0.06133931526704423	20
32	True	squared_error	28	log2	2	9	650	18.61471705751064	0.6099744808120687	33	13.051252961923169	0.05855233005699134	35
33	True	squared_error	28	sqrt	2	8	650	18.616534851179757	0.631846354144382	34	12.83855115275272	0.05810364052270317	19
34	True	squared_error	28	sqrt	2	8	650	18.617817398720216	0.6131153894171559	35	12.839765509433837	0.059471502590985645	23
35	True	squared_error	28	sqrt	2	8	650	18.622420424225233	0.6100236738955226	36	12.842814285985312	0.05937929535969916	29
36	True	squared_error	28	sqrt	2	9	650	18.63059806923939	0.6052105725414963	37	13.053566912773036	0.06117273293829264	37
37	True	squared_error	28	sqrt	2	2	650	18.63863905788427	0.6341691527050671	38	11.895241762800172	0.0659977536128069	4
38	True	squared_error	28	sqrt	4	6	550	18.675327209186566	0.609785781094765	39	13.921341622480927	0.06563067571842573	44
39	True	absolute_error	28	sqrt	2	7	650	18.68579173265787	0.6181609864829831	40	13.468500391531933	0.06638775975248046	42
40	True	squared_error	28	sqrt	5	5	550	18.752124254113888	0.585130889989068	41	14.575711183384488	0.05971215420410231	45
41	True	squared_error	28	sqrt	5	7	400	18.76667132055532	0.5939882815222307	42	14.578244095811973	0.06102461208763502	46
42	False	squared_error	24	log2	3	37	650	18.773563251379784	0.5447604332894083	43	14.720985081623933	0.05629838528067698	47
43	False	absolute_error	22	sqrt	1	27	650	18.77695950371875	0.5685755984828733	44	13.71051186888233	0.07183439959324282	43
44	False	squared_error	20	log2	1	9	650	18.844876918954842	0.7492394636442288	45	10.602681645690353	0.07974259681398997	3
45	True	squared_error	28	sqrt	6	8	100	18.901840061938717	0.5920008882018333	46	15.152524084013644	0.06828881669916938	48
46	True	squared_error	41	log2	1	2	650	18.999939518359174	0.7067520412144083	47	9.588678092910389	0.06837388556716108	2
47	True	squared_error	28	sqrt	8	6	100	19.117574539193832	0.5505980028736078	48	15.970155152443217	0.06512852385905879	49
48	False	squared_error	31	sqrt	8	50	650	19.153620201568565	0.5373350379661102	49	16.246084093837304	0.05904428482048405	50
49	True	squared_error	28	sqrt	9	5	250	19.19614848466531	0.5490029795377425	50	16.29352170357767	0.058647379763271223	51
50	True	squared_error	27	sqrt	10	4	400	19.259607268566587	0.5363938932620715	51	16.57699544678269	0.05759639602826843	53
51	True	squared_error	30	sqrt	10	2	400	19.27635288451008	0.539579092611543	52	16.586332748871207	0.05909733141639007	54
52	True	squared_error	30	sqrt	10	2	350	19.282366845701077	0.5380121899613786	53	16.575816666636904	0.06442124188298116	52
53	False	squared_error	38	log2	18	15	250	19.33988305558595	0.5383822984687698	54	16.739994279159788	0.058957519833608654	56
54	True	squared_error	28	sqrt	11	2	600	19.35409853967425	0.5362565791076683	55	16.844232696210135	0.05811942145369143	57
55	True	squared_error	28	sqrt	1	48	150	19.39676714753097	0.4907438301055854	56	16.717814470560107	0.06087122885766585	55
56	False	squared_error	47	log2	20	22	300	19.45728735549351	0.529336400351772	57	17.051435445253897	0.056008502129665134	58
57	True	squared_error	44	log2	12	12	100	19.469140095889347	0.5206540954222468	58	17.114173010723476	0.0615806399181314	59
