	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	False	squared_error	37	sqrt	1	24	650	17.625945947454316	1.233942087528047	1	11.625099832829585	0.12088845736752811	24
1	False	squared_error	35	sqrt	1	25	650	17.634405675089596	1.2222277715005525	2	11.750728414227577	0.12144952705002178	27
2	False	squared_error	36	log2	1	23	650	17.6369194934283	1.2676683618435072	3	11.489856732692669	0.1245425263772741	16
3	False	squared_error	38	sqrt	1	22	650	17.63936608868063	1.2454670892869981	4	11.353095749077895	0.12621270064655477	14
4	True	squared_error	27	sqrt	1	9	650	17.646297877898927	1.1902253125414002	5	11.339084832221275	0.10610376508391552	13
5	False	squared_error	39	log2	1	25	650	17.65126595200008	1.219764396547138	6	11.747130003622603	0.11491079495517532	26
6	True	squared_error	47	sqrt	1	11	650	17.653668893442767	1.1979681129961477	7	11.79933723299915	0.1155300940750166	30
7	True	squared_error	40	sqrt	1	10	650	17.655240909178154	1.2100222147623536	8	11.579969439428309	0.11207094573528258	23
8	False	squared_error	21	sqrt	1	25	650	17.65568439111975	1.2308174683909827	9	11.812995713789576	0.11953237412857956	32
9	True	squared_error	48	log2	1	10	650	17.65755101649995	1.2052872393669536	10	11.57522169299569	0.10953876222961638	18
10	True	absolute_error	28	sqrt	1	9	650	17.65873432422206	1.2054221881567289	11	11.51422476377836	0.1112032002799856	17
11	True	squared_error	42	sqrt	1	10	650	17.660427052626396	1.199411410517927	12	11.577433370239094	0.10913125506431774	21
12	True	squared_error	26	sqrt	1	8	650	17.66058240910079	1.2090418905530107	13	11.095848729811209	0.11057160111629262	10
13	True	squared_error	38	sqrt	1	12	650	17.6626683296957	1.1903269853441931	14	12.007742011898324	0.10761556566564237	34
14	True	squared_error	40	sqrt	1	11	650	17.662854218238223	1.2108391506532499	15	11.805617647941265	0.11349051808046103	31
15	True	squared_error	39	sqrt	1	7	650	17.663704081865752	1.2049598984806316	16	10.816783819825575	0.11431390482024674	8
16	True	squared_error	50	sqrt	1	10	650	17.664388781271008	1.204297047474714	17	11.576937863235562	0.11209701286172608	20
17	True	squared_error	26	sqrt	1	10	600	17.665498784325145	1.202378053403934	18	11.578534338397594	0.10758562049109346	22
18	True	squared_error	27	sqrt	2	8	650	17.675511091775	1.2187375872626987	19	11.853875858983788	0.11057968566735492	33
19	True	squared_error	29	sqrt	1	10	650	17.67562000656741	1.1808983785044853	20	11.576864704242974	0.10879486682711734	19
20	True	squared_error	26	sqrt	1	7	600	17.675776048902875	1.2086811931306025	21	10.82913071703539	0.10933298191789802	9
21	True	squared_error	42	sqrt	1	11	650	17.676214123238232	1.2135370847137101	22	11.79863598699165	0.11067683052097456	29
22	True	squared_error	37	log2	1	8	350	17.680162265825075	1.1970893685758972	23	11.099658875554955	0.10091664468919326	11
23	True	squared_error	39	log2	2	6	100	17.68274276632726	1.2405780160053619	24	11.434631534300031	0.11639785732536156	15
24	True	squared_error	40	sqrt	2	9	650	17.683007242548975	1.2171135145952021	25	12.06369782285717	0.10807943839764941	35
25	True	absolute_error	40	sqrt	1	10	650	17.683410724208308	1.2172335862069192	26	11.736912561046015	0.10913055816887685	25
26	True	squared_error	44	sqrt	1	13	650	17.692248912463732	1.187459434808715	27	12.199148073646612	0.10991932471795547	36
27	False	squared_error	37	sqrt	1	25	100	17.694403286071047	1.2416221877588505	28	11.776569342229076	0.1262177032276243	28
28	True	squared_error	49	sqrt	1	13	650	17.697068725320065	1.192597255244356	29	12.204113568920281	0.11182995697980895	37
29	False	squared_error	29	sqrt	1	31	650	17.702430133537234	1.1957285828531743	30	12.447036966487035	0.1171039305177922	39
