	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	False	squared_error	26	log2	5	14	650	18.35545309219066	0.6641258775720964	1	12.87250130554338	0.07232619209775115	22
1	False	squared_error	50	log2	5	2	650	18.363852477361334	0.6927437765859239	2	12.428079877841421	0.07856055271204143	15
2	False	squared_error	46	sqrt	6	4	650	18.366330813055992	0.6638246163843637	3	13.0121222114532	0.07221154220991029	24
3	False	squared_error	50	sqrt	5	2	650	18.370692569348442	0.6744958841417796	4	12.427220793923182	0.08037846456672984	13
4	False	squared_error	27	sqrt	5	13	650	18.37114274004607	0.6758784788511232	5	12.75676337793853	0.07611520364459547	20
5	False	squared_error	36	sqrt	6	8	650	18.371908238566867	0.6762703802195421	6	13.015875753759365	0.07202302514394009	29
6	False	squared_error	50	sqrt	5	8	650	18.37326347310193	0.6801846895453882	7	12.427237344668288	0.07773465659664289	14
7	False	squared_error	42	sqrt	5	7	650	18.37352524895215	0.6785969759072593	8	12.425927674114067	0.08023110104360376	11
8	False	squared_error	50	sqrt	3	18	650	18.37423284214444	0.6907275464502666	9	12.680087004822749	0.06935276174814722	19
9	False	squared_error	47	sqrt	4	14	650	18.375199517714197	0.6929886938206656	10	12.51972459719523	0.07372203317111904	17
10	False	squared_error	43	sqrt	6	12	650	18.377618748942147	0.6791197017472175	11	13.014125881362798	0.07180166018516546	28
11	False	squared_error	50	sqrt	5	18	650	18.37803667747687	0.6535883880622058	12	13.321883408327816	0.07105712367851193	34
12	False	squared_error	50	log2	4	14	650	18.378186752278687	0.6976418656673267	13	12.518081652621468	0.07223326277765836	16
13	False	squared_error	24	log2	5	17	100	18.37819097641419	0.6648427293719857	14	13.248014983186119	0.06344508003831623	32
14	False	squared_error	41	sqrt	6	2	650	18.378811980261503	0.6689888450069341	15	13.012906833058873	0.0737499171227494	25
15	False	squared_error	25	sqrt	5	18	650	18.379209645197385	0.6441395928161431	16	13.330484854075081	0.06875376289568205	35
16	False	squared_error	26	sqrt	4	13	650	18.380318803144604	0.6896801898320266	17	12.391154913394043	0.07609823338073131	10
17	False	squared_error	26	sqrt	4	15	650	18.38133544309965	0.6905542187619219	18	12.660464555833208	0.07487623973038278	18
18	False	squared_error	23	log2	4	22	650	18.382839032581735	0.6577787217709216	19	13.473965622679819	0.06614195118350119	38
19	False	squared_error	29	log2	6	12	650	18.38321528775088	0.6660585247687842	20	13.01366674374238	0.07140187546792438	26
20	False	squared_error	33	log2	6	4	650	18.383889302290424	0.6765961769089799	21	13.013711282847817	0.0712907522640851	27
21	False	squared_error	50	sqrt	3	24	650	18.38595964740732	0.6741237629776718	22	13.346269362765877	0.07064665561314158	36
22	False	squared_error	50	log2	6	2	650	18.385974900959035	0.6770688578541643	23	13.011229793546587	0.07177508483942391	23
23	False	squared_error	47	log2	5	2	650	18.386518998238095	0.6778388744732193	24	12.42674891804176	0.07865423361282418	12
24	False	squared_error	41	sqrt	4	16	650	18.39025488379691	0.6903738825685662	25	12.779731440861003	0.07052768905672524	21
25	False	squared_error	28	log2	4	12	100	18.39057628822285	0.6996886097185245	26	12.2728266469617	0.07352670080168308	9
26	False	squared_error	48	log2	6	6	100	18.397770372854655	0.6889135300692758	27	13.032229055978698	0.06621004519766621	30
27	False	squared_error	29	log2	4	10	650	18.39880382202359	0.7254264332615556	28	11.962549588291909	0.08059152669939745	8
28	False	squared_error	29	log2	4	9	650	18.40120054096618	0.7315720982963012	29	11.822645325923956	0.07987301657214116	6
29	False	squared_error	50	sqrt	7	2	650	18.408597051598637	0.6693688254428152	30	13.50668361812966	0.06770555657388751	39
30	False	squared_error	50	log2	4	2	650	18.42420396909236	0.7504981788440394	31	11.70483627144077	0.08023365467462208	5
31	True	squared_error	50	sqrt	1	14	650	18.438291762671945	0.6562392877114186	32	13.189861527178408	0.06309687443562143	31
32	False	squared_error	29	log2	3	12	100	18.44285939285064	0.738246021321965	33	11.841315596508839	0.07882614800291997	7
33	True	squared_error	29	sqrt	3	9	150	18.454957547311302	0.7049007788635004	34	13.372303267373374	0.06839352171524543	37
34	True	squared_error	50	log2	2	2	650	18.475370706429473	0.7393103099667524	35	11.702803420218988	0.07667459473022897	4
35	False	squared_error	21	sqrt	6	27	650	18.480557593977316	0.6535567137634524	36	14.384974079144751	0.06366719604031805	46
36	True	squared_error	29	log2	4	10	600	18.484832664082056	0.6835180268443592	37	13.925491677357034	0.06816716904530133	42
37	True	squared_error	30	sqrt	4	10	200	18.488033996359658	0.6690183980130859	38	13.940722402076336	0.07064114397773648	43
38	True	squared_error	29	sqrt	4	6	250	18.48888621451498	0.7001248920953497	39	13.700942100465394	0.0675902377365202	40
39	True	squared_error	28	sqrt	4	8	100	18.501138451668872	0.6948939122970096	40	13.732576772875456	0.0685428340479075	41
40	True	squared_error	29	sqrt	2	11	100	18.50274906196166	0.6727021262808317	41	13.26571608834018	0.07410519097488785	33
41	True	squared_error	50	log2	5	2	650	18.526838887512522	0.6906829365331555	42	14.324127731965964	0.06655944989067086	44
42	True	squared_error	29	sqrt	5	4	300	18.530252019175798	0.6770024414679549	43	14.328325881719891	0.05828285756841666	45
43	False	squared_error	29	sqrt	3	4	500	18.548892452301143	0.7767534143793288	44	10.826653682808056	0.08335823560527765	3
44	False	absolute_error	50	sqrt	4	27	650	18.6480834054311	0.6946309741254629	45	14.754198592162084	0.06809535053136034	47
45	True	squared_error	30	sqrt	1	4	300	18.670181678200166	0.7611480669813614	46	10.577307366283238	0.06376117471891184	2
46	True	squared_error	29	sqrt	4	23	100	18.71418931624935	0.680824815341451	47	15.383170399095187	0.06811608526175912	48
47	True	absolute_error	50	log2	1	2	650	18.820164496318743	0.7793348420359022	48	9.797433214054296	0.0668564952541597	1
48	True	squared_error	28	sqrt	9	4	350	18.90434174488491	0.6825114796625206	49	15.990085306717173	0.06138007095038817	49
49	False	squared_error	16	log2	7	50	650	18.911571422676086	0.6836676912452301	50	16.031489645722075	0.060743114752534896	50
50	True	squared_error	27	sqrt	10	4	400	18.982676368756827	0.6851313240781866	51	16.27382321539315	0.0669282215897669	51
51	False	squared_error	50	log2	12	50	650	19.021554657724867	0.6921904189278398	52	16.3615364439387	0.059922668373147976	52
52	False	squared_error	38	log2	18	15	250	19.064502493327456	0.6917479959368645	53	16.42483032362754	0.06865762104535547	53
53	True	squared_error	36	sqrt	11	9	350	19.08769742234997	0.6802781291029477	54	16.53840710839059	0.06472540060800881	54
54	True	squared_error	44	log2	12	12	100	19.16787327619598	0.6727483502942722	55	16.80087234205973	0.06719145474743787	58
55	False	squared_error	47	log2	20	22	300	19.170366358359338	0.6769256129540415	56	16.731619680381705	0.06572987830513978	56
56	True	squared_error	50	sqrt	1	50	100	19.225453466570563	0.6694782416179642	57	16.562964430530506	0.0811114298592756	55
57	True	squared_error	14	log2	1	44	100	19.270818297057893	0.6813009466133226	58	16.784541333128068	0.060033064683767415	57
58	False	squared_error	10	log2	6	24	200	19.307804545808498	0.7141430058742257	59	17.02830532165102	0.08210128285741346	59
59	True	squared_error	21	sqrt	18	31	450	19.612342506305907	0.6900125946932425	60	17.823012456963717	0.0640047115458399	60
60	False	squared_error	50	log2	30	50	650	19.638655042938378	0.6926905623990728	61	17.836656031499068	0.0669300666314058	61
61	False	squared_error	50	log2	30	2	350	19.65104040212675	0.6934366079848965	62	17.842369439788204	0.06989912417214426	62
62	True	absolute_error	32	sqrt	16	7	500	19.833364946302122	0.7701799634359234	63	18.32643303960075	0.08478401323403825	63
63	True	squared_error	12	log2	24	20	350	20.064635983153888	0.7141464089138009	64	18.717946796622666	0.0676246201180984	64
64	True	squared_error	19	sqrt	26	5	200	20.084129702524073	0.7080394798810943	65	18.73792415393317	0.07318870907261973	65
65	True	absolute_error	29	sqrt	27	36	350	20.501880803079494	0.7918029706112333	66	19.476989392036913	0.08169536158287388	66
66	False	squared_error	5	log2	11	2	400	21.87721591860116	0.7461520088837429	67	21.417732860029197	0.08343168989031371	67
67	True	squared_error	5	sqrt	8	2	650	21.907523014752165	0.7276681658996894	68	21.465579746599005	0.08006097062265444	68
68	False	squared_error	5	log2	30	50	650	21.963488205164793	0.7304485866612245	69	21.552324010989967	0.08736806707076684	69
69	False	absolute_error	5	log2	1	2	650	22.144112550533173	0.8116410921315277	70	21.761049775360963	0.09202619964016034	70
