	param_detector__bootstrap	param_detector__contamination	param_detector__max_features	param_detector__max_samples	param_detector__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	True	0.0023	1	3540	100	0.48743114247692976	0.001584741217949377	1	0.48667522906876376	0.001443925205002907	1
1	True	0.0038	1	3970	200	0.4871944686065054	0.0009138480583653855	2	0.4863800299684914	0.0007512592703959229	2
2	True	0.0922	1	3950	200	0.4868491227164945	0.0007248526175869514	3	0.48606261405320766	0.0006336224206942125	3
3	True	0.034	1	3140	200	0.4866334785563121	0.0010336272726268992	4	0.48584905336937184	0.0009162923978455931	4
4	True	0.0221	1	3745	250	0.4865957526681407	0.000420075628565362	5	0.4858063786936427	0.00033375756466220725	5
5	True	0.0196	1	2315	100	0.4861690816314157	0.0014003187288694303	6	0.48545964739781516	0.0014681720746004602	6
6	True	0.0941	1	3500	250	0.48601677153382655	0.0007425802638473942	7	0.4851993803740732	0.0006360103110419089	8
7	True	0.0096	1	2555	200	0.48596214718105735	0.0008923957258583268	8	0.48519030163632026	0.0007728970508059781	9
8	True	0.07360000000000001	1	2540	200	0.48587213388563744	0.001121710708828934	9	0.48512938821110413	0.0009323905172514243	10
9	True	0.0267	1	200	100	0.4854058754317066	0.0023787569308534105	10	0.48531909218642977	0.0021703934735664474	7
10	True	0.0208	1	1710	150	0.4850052455971709	0.0011932388318563723	11	0.48441122658633234	0.0010785525545902992	11
11	True	0.0858	1	3390	300	0.4849408073956103	0.0008930637020441413	12	0.48417883988037447	0.0007329963000066005	12
12	True	0.10590000000000001	1	3390	550	0.48332470620657303	0.0005077182880735351	13	0.4825241222524882	0.00036141718113782734	13
13	True	0.022600000000000002	1	2515	400	0.48312097115781727	0.00039411427527456794	14	0.48238350028420324	0.0005217724866891792	14
14	True	0.0023	1	2835	450	0.48305418376318887	0.00053523336615119	15	0.4823298172103755	0.00047707576699570337	15
15	True	0.035800000000000005	1	2315	600	0.48166844193479086	0.0003954509230779403	16	0.48099362844057064	0.0003626368549781047	18
16	True	0.0131	1	1535	350	0.48160121498963165	0.0004996998078183103	17	0.48108277510673353	0.0005037103740268164	17
17	False	0.1107	1	1125	150	0.48155259849030524	0.0011042719865578805	18	0.4811493562411845	0.0009663355943574882	16
18	True	0.0649	1	2640	750	0.4814129575437634	0.00029388404023696817	19	0.4807148650681701	0.00025382734950296924	19
19	False	0.028300000000000002	1	1710	250	0.480574027176882	0.0010239221420183145	20	0.48002789173237603	0.0011522052294529435	20
20	True	0.10990000000000001	1	1645	650	0.4803623210191918	0.0006563700326799966	21	0.4798320942279689	0.0006079235016169224	22
21	True	0.0922	1	445	700	0.48012597724808764	0.0007061406578262178	22	0.4799325034993066	0.0005450684084899488	21
