lon,lat,heat-flow (mW/m2),grid_index,dist_from_grid,VOLC_DIST,VOLC_DIST_W,LAND,CONTINENT,SV,PV,CTD,MOHO,SI,LAB,RHO_C,RHO_L,GEOID,FA,BG,DEM,EMAG2,EMAG2_CLASS,GLIM,REG,SV_SPEED,PV_SPEED
-179.927,75.076,76.0,1210727,10260.533211449068,1013.6955170101504,0.0,,,-0.00771734472425501,0.00018097887849625064,26.85575473057468,28.75276052804945,0.09077384291481902,91.79006850660022,2791.5295457834654,3296.0872180331835,1.7319733789949785,2.896229046742375,20.95893636172529,-154.0,-14.181530952453613,-0.03483981117430541,15.0,3.0,,
-165.833,68.1,46.0,1149632,7632.452586124909,205.04978607050867,0.0,1.0,8.0,0.011765992046613088,-0.0004599984524485054,28.37297978468594,32.56243259811265,-0.4435977525219232,86.18846340608198,2767.0189937185996,3290.83178370894,1.9304467502255953,-11.843591383091214,-11.503899536735073,-2.0,-73.37606811523438,-0.16842559549428707,6.0,6.0,,
-161.95,56.2,56.0,1041711,7806.774443558525,71.1675843989062,0.28832415601093797,,,0.028853537172215542,0.011117558160594076,23.4152172692742,29.330056516712347,0.8893508385929902,90.54415913170354,2795.12003272498,3293.9910462390553,16.034932829724966,22.610800777106224,26.142340994408233,-51.0,-39.209571838378906,-0.09351213665308811,15.0,2.0,,
-140.45,59.2,54.0,1068804,8522.958756687916,252.7576676121484,0.0,,,-0.005595849577480825,-0.011414403849987056,27.989477726550106,24.003748054493226,0.6027454172595149,79.70728172812083,2758.0689076571216,3299.5721629301997,8.317889514896015,10.758942055996126,36.029496713605624,-128.0,-3.4028234663852886e+38,-1.0,15.0,4.0,,
-135.15,62.783,155.4,1101212,3589.7020758690105,114.29558004851694,0.0,1.0,8.0,0.004057948057217501,-0.0010492758287814208,24.59932285030591,35.20617863353176,0.8855676924605271,98.03053004521875,2826.1005826063138,3296.3352641958836,7.563835277742966,25.90484816792211,-86.14620844316504,667.0,14.452041625976562,0.035492719026664864,1.0,3.0,,
-135.15,62.783,127.3,1101212,3589.7020758690105,114.29558004851694,0.0,1.0,8.0,0.004057948057217501,-0.0010492758287814208,24.59932285030591,35.20617863353176,0.8855676924605271,98.03053004521875,2826.1005826063138,3296.3352641958836,7.563835277742966,25.90484816792211,-86.14620844316504,667.0,14.452041625976562,0.035492719026664864,1.0,3.0,,
-133.583,58.733,79.2,1065240,2115.1169555862725,94.4321183792897,0.05567881620710291,1.0,8.0,-0.025170706727748036,-0.013279787619897872,25.223298705649057,30.853112694967876,0.5001771668441752,77.66225309438495,2789.980218503213,3278.9219963586197,4.370402538029312,31.010102709666334,-77.77329254685937,523.0,-13.492388725280762,-0.03317456023419143,5.0,4.0,,
-132.05,54.783,46.0,1029267,8734.491777482972,87.30703305930861,0.12692966940691397,1.0,8.0,-0.03053217328246728,-0.008394367990637284,21.578469606550126,24.632106684393463,0.30206218374738575,76.12589466212678,2783.6895141844334,3283.095983295418,-5.004153758490737,17.77719886573395,11.655222462597175,-90.0,-0.36464574933052063,-0.0009111991053005294,5.0,4.0,,
-131.78,55.163,71.0,1032867,4348.166479293144,49.460933241681346,0.5053906675831865,1.0,8.0,-0.031393301007491825,-0.008574783932745146,21.538919431143377,26.53171506843702,0.3472533011534446,75.52385928769135,2786.987521281554,3282.30199646399,-4.612692564353306,12.269006437286379,1.2838821934981937,-30.0,-40.632118225097656,-0.09674578116516412,10.0,4.0,,
-130.583,54.017,72.2,1022079,10472.525495823564,79.31544725936956,0.20684552740630435,1.0,8.0,-0.025047599506094247,-0.008626493522811803,19.971787516513913,25.05199157379563,0.24807947865535995,75.23507313121382,2782.123142948704,3280.8580034710794,-8.314023683299798,-7.135704702037538,-24.328530788160663,35.0,-3.4028234663852886e+38,-1.0,9.0,4.0,,
-130.433,56.65,106.5,1047266,10735.034739991552,10.57515250604359,0.894248474939564,1.0,8.0,-0.03392351545172258,-0.010456302819012733,21.620978954110278,30.501057946325023,0.39567113858260233,72.8213991292453,2785.051633631384,3281.6339275817427,-1.295705321610105,24.41186737950899,-99.48008184057898,813.0,-50.937294006347656,-0.11986374504812349,3.0,4.0,,
-130.416,56.65,91.3,1047266,10253.855166143934,11.305243895989765,0.8869475610401023,1.0,8.0,-0.03392351545172258,-0.010456302819012733,21.620978954110278,30.501057946325023,0.39567113858260233,72.8213991292453,2785.051633631384,3281.6339275817427,-1.295705321610105,24.41186737950899,-99.48008184057898,813.0,-50.937294006347656,-0.11986374504812349,3.0,4.0,,
-130.116,53.35,76.0,1016684,3479.310970003856,132.53059746418475,0.0,1.0,8.0,-0.022531565327629073,-0.008220658514090647,19.46966055638507,24.812076480086702,0.21246572390051657,75.73367105383903,2778.5544992568266,3282.3148498030837,-10.280231410998487,3.7398505028085887,-10.239316218950911,26.0,-3.4028234663852886e+38,-1.0,9.0,4.0,,
-130.033,56.067,106.7,1041871,9062.765012475606,65.34531992985362,0.3465468007014638,1.0,8.0,-0.031003556739829744,-0.008847562220757815,21.50062405174792,30.389610590012204,0.3246172033494552,73.98768289921145,2793.2850487747314,3287.3893998545823,-3.414963090590592,-30.86040963577659,-110.88149271643749,766.0,-129.5675048828125,-0.2805960977826723,10.0,4.0,,
-129.816,55.433,83.0,1036475,11706.29034844718,28.140559993684832,0.7185944000631517,1.0,8.0,-0.02862837367768733,-0.007962508935965604,20.4721701852091,30.363753983013744,0.26853948695498386,74.46303460173581,2796.5992551009804,3288.3943720212346,-4.932047050090169,-16.689414506240595,-77.93678127156181,914.0,-170.06295776367188,-0.3542822598381851,9.0,4.0,,
-129.816,55.433,93.8,1036475,11706.29034844718,28.140559993684832,0.7185944000631517,1.0,8.0,-0.02862837367768733,-0.007962508935965604,20.4721701852091,30.363753983013744,0.26853948695498386,74.46303460173581,2796.5992551009804,3288.3943720212346,-4.932047050090169,-16.689414506240595,-77.93678127156181,914.0,-170.06295776367188,-0.3542822598381851,9.0,4.0,,
-129.816,55.433,103.2,1036475,11706.29034844718,28.140559993684832,0.7185944000631517,1.0,8.0,-0.02862837367768733,-0.007962508935965604,20.4721701852091,30.363753983013744,0.26853948695498386,74.46303460173581,2796.5992551009804,3288.3943720212346,-4.932047050090169,-16.689414506240595,-77.93678127156181,914.0,-170.06295776367188,-0.3542822598381851,9.0,4.0,,
-128.083,52.133,74.0,1005900,4290.940044586737,59.99521610297537,0.4000478389702463,1.0,8.0,-0.02522007551375524,-0.008061848181235527,21.294202230932292,25.93418328227274,0.11520797557272243,74.83531721003392,2793.852090774514,3284.938717012889,-12.617494135839866,20.3870086718116,-15.763126663106895,0.0,-3.4028234663852886e+38,-1.0,8.0,4.0,,
-127.5,50.617,67.9,993310,11429.674475442094,123.35283621270834,0.0,1.0,8.0,-0.019894256845100773,-0.010202302214349698,20.78587029531328,25.46668447968981,0.13390217949234318,74.723421412243,2822.4191760504486,3278.181638124942,-14.770428541268519,12.16767766045406,-12.389658103837352,240.0,-3.4028234663852886e+38,-1.0,15.0,4.0,,
-126.75,57.05,73.8,1050882,9431.228475231052,100.1223527541247,0.0,1.0,8.0,0.003205822884276478,-0.0055692979647097764,23.395273420697997,36.21021621826664,0.19212868444972925,83.65611072759084,2849.4631722382355,3323.4854282822466,-4.159486926998511,30.42368828771663,-142.6115264087585,1589.0,45.5362434387207,0.10781405101391879,5.0,3.0,,
-125.303,49.78,39.0,984326,7843.606800167231,149.59449227086975,0.0,1.0,8.0,-0.004257674575299599,-0.013669323040860085,27.38060389692128,30.560417762574005,0.4076251984111694,78.06647132282222,2832.3227265800124,3276.3450646099,-15.232103717599454,16.989876448645198,-27.742012192514178,964.0,-3.4028234663852886e+38,-1.0,2.0,3.0,,
-125.3,49.767,39.4,984326,6587.483562815122,149.77794429265754,0.0,1.0,8.0,-0.004257674575299599,-0.013669323040860085,27.38060389692128,30.560417762574005,0.4076251984111694,78.06647132282222,2832.3227265800124,3276.3450646099,-15.232103717599454,16.989876448645198,-27.742012192514178,964.0,-3.4028234663852886e+38,-1.0,2.0,3.0,,
-125.151,49.805,38.0,984327,10214.218004943961,138.3370273490024,0.0,1.0,8.0,-0.0019978458275966204,-0.013461755992794833,27.53426514752053,31.415986180724673,0.395945912859611,78.56203425282612,2841.007757582195,3275.8028119608393,-15.29934159347091,12.211140748298227,-26.399524604381657,163.0,-3.4028234663852886e+38,-1.0,2.0,3.0,,
-124.951,49.385,43.0,980730,8129.600092875855,128.38421710629822,0.0,1.0,8.0,0.003513101351666059,-0.012916732361798945,28.424720422492395,32.18551403330924,0.3642136850394855,79.25000537792451,2855.7668515183695,3273.7716676439177,-16.757442469242008,22.10938156159756,-10.452354410748315,128.0,-3.4028234663852886e+38,-1.0,5.0,3.0,,
-124.813,50.092,32.0,987927,5871.770962658935,109.37152799967375,0.0,1.0,8.0,-0.006764795901986288,-0.013301037094601294,28.082023642101518,31.07397266028808,0.33609575526770114,77.81532912165173,2834.1528493889928,3279.2650384200715,-14.660420835085938,8.662031520583625,-47.6291469854291,760.0,15.294675827026367,0.037523783381598334,9.0,3.0,,
-124.672,49.165,48.0,978932,7651.0122829756,118.08578795881506,0.0,1.0,8.0,0.008050353660674622,-0.012370620826085747,29.16731534273648,30.978240150881412,0.3161868976674347,78.79077387045778,2856.982479062094,3273.336241024459,-16.90010213391073,25.069148063454698,-9.438937270340512,909.0,-3.4028234663852886e+38,-1.0,5.0,3.0,,
-124.667,49.163,54.0,978932,7720.870178983984,117.86798578274939,0.0,1.0,8.0,0.008050353660674622,-0.012370620826085747,29.16731534273648,30.978240150881412,0.3161868976674347,78.79077387045778,2856.982479062094,3273.336241024459,-16.90010213391073,25.069148063454698,-9.438937270340512,909.0,-3.4028234663852886e+38,-1.0,5.0,3.0,,
-124.666,49.15,54.4,978932,6782.013068048895,118.48732311647555,0.0,1.0,8.0,0.008050353660674622,-0.012370620826085747,29.16731534273648,30.978240150881412,0.3161868976674347,78.79077387045778,2856.982479062094,3273.336241024459,-16.90010213391073,25.069148063454698,-9.438937270340512,909.0,-3.4028234663852886e+38,-1.0,5.0,3.0,,
-124.666,49.15,48.3,978932,6782.013068048895,118.48732311647555,0.0,1.0,8.0,0.008050353660674622,-0.012370620826085747,29.16731534273648,30.978240150881412,0.3161868976674347,78.79077387045778,2856.982479062094,3273.336241024459,-16.90010213391073,25.069148063454698,-9.438937270340512,909.0,-3.4028234663852886e+38,-1.0,5.0,3.0,,
-124.662,49.152,48.0,978932,7148.089597093459,118.12552965356592,0.0,1.0,8.0,0.008050353660674622,-0.012370620826085747,29.16731534273648,30.978240150881412,0.3161868976674347,78.79077387045778,2856.982479062094,3273.336241024459,-16.90010213391073,25.069148063454698,-9.438937270340512,909.0,-3.4028234663852886e+38,-1.0,5.0,3.0,,
-124.655,50.287,26.0,989726,6714.262456843686,90.22016428634817,0.0977983571365183,1.0,8.0,-0.013387829768983051,-0.013253365490416974,27.677132058419584,30.95854026105834,0.30831338837454136,77.39793801449457,2837.753156080088,3285.1920764102124,-14.424730664099126,9.750957259728224,-58.16295815069837,479.0,16.422607421875,0.040236080718782284,9.0,3.0,,
-124.65,44.06,48.8,933957,8210.062225730137,206.79879233363232,0.0,,,-0.004043365631481755,-0.010975612676615782,25.62508762381122,24.461482369233586,-0.6992670431771114,75.21153574454303,2778.1224575325864,3277.9405790693877,-26.027300403696675,-2.1543803906180665,56.33262427008404,-127.0,112.385009765625,0.2476117675405759,15.0,3.0,,
-124.65,49.15,47.9,978932,7723.328812538562,117.46620988661024,0.0,1.0,8.0,0.008050353660674622,-0.012370620826085747,29.16731534273648,30.978240150881412,0.3161868976674347,78.79077387045778,2856.982479062094,3273.336241024459,-16.90010213391073,25.069148063454698,-9.438937270340512,909.0,-3.4028234663852886e+38,-1.0,5.0,3.0,,
-124.64,50.272,27.0,989726,8492.414800398776,89.99577216222653,0.10004227837773472,1.0,8.0,-0.013387829768983051,-0.013253365490416974,27.677132058419584,30.95854026105834,0.30831338837454136,77.39793801449457,2837.753156080088,3285.1920764102124,-14.424730664099126,9.750957259728224,-58.16295815069837,479.0,16.422607421875,0.040236080718782284,9.0,3.0,,
-124.636,50.195,43.0,987928,11325.833748880415,93.90984299499979,0.060901570050002074,1.0,8.0,-0.005797669134488657,-0.012828418473511181,28.224973748378066,31.140349753884983,0.3171238174850938,77.77056441046551,2833.2791693187046,3279.4498602727326,-14.753520764328439,8.2711093748658,-61.35865893621623,331.0,19.43162727355957,0.0474359792785336,9.0,3.0,,
-124.626,50.243,32.0,989727,10158.576908102028,90.61581647345415,0.09384183526545853,1.0,8.0,-0.00979170749514232,-0.012799239450015529,28.328965506604927,32.04908949235424,0.29733707570843293,77.34527157148082,2837.1769630236113,3285.4165355393225,-14.571514519795754,8.119188129985242,-68.86358053825053,1381.0,18.175792694091797,0.044437353692028565,9.0,3.0,,
-124.59,43.263,43.2,926762,5497.947771680881,189.99552739560292,0.0,1.0,8.0,-0.004452462410542238,-0.01082685430686899,23.689394469458463,26.148257955288233,-0.6855714390466325,75.24880865854128,2792.1538350705114,3278.6557344158027,-26.12826726183497,-2.9721183822479014,27.67807962138623,-53.0,-1.838053584098816,-0.004584608563612207,3.0,3.0,,
-124.547,49.753,36.0,984330,4439.397030680388,96.11817010113222,0.038818298988677835,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.547,49.755,33.0,984330,4659.710706625582,96.14297060976803,0.0385702939023197,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.547,49.757,35.0,984330,4880.21275312853,96.16827896508806,0.03831721034911939,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
